Index,Micros,BMP,Temperature (°C),Pressure (hPa),Altitude (m),,,,,,
Index,Micros,GPS,Latitude,Longitude,Altitude,Speed,Satellites,,,,
Index,Micros,BNO,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ
,,,,,,,,,,,
1,67200734,BMP390,22.53,1007.46,-0.23,,,,,,
2,67257789,BNO,0,0,0,0,0,0,0,0,0
3,67316974,GPS,0,0,0,0,0,0,,,
4,67346183,BMP390,22.5,1007.46,-0.2,,,,,,
5,67403181,BNO,0,0,0,0,0,0,0,0,0
6,67461090,BMP390,22.48,1007.46,-0.2,,,,,,
7,67518191,BNO,-132.96,-3.38,-14.52,0,0,0,0,0,0
8,67578242,GPS,0,0,0,0,0,0,,,
9,67606650,BMP390,22.46,1007.46,-0.22,,,,,,
10,67663627,BNO,-132.96,-3.38,-14.52,0,0,0,0,0,0
11,67723711,BMP390,22.45,1007.46,-0.19,,,,,,
12,67780738,BNO,-135,-1.48,-14.49,0,0,0,0,0,0
13,67839143,GPS,0,0,0,0,0,0,,,
14,67868438,BMP390,22.44,1007.45,-0.16,,,,,,
15,67925464,BNO,-135,-1.48,-14.49,0,0,0,0,0,0
16,67983328,BMP390,22.42,1007.45,-0.12,,,,,,
17,68040340,BNO,-135.04,-0.82,-14.39,0,0,0,0,0,0
18,68099352,GPS,0,0,0,0,0,0,,,
19,68128290,BMP390,22.41,1007.44,-0.08,,,,,,
20,68185278,BNO,-135.04,-0.82,-14.39,0,0,0,-0.07,-0.44,-0.33
21,68240944,BMP390,22.4,1007.44,-0.05,,,,,,
22,68297955,BNO,-135.66,1.12,-13,0,0,0,-0.07,-0.44,-0.33
23,68356180,GPS,0,0,0,0,0,0,,,
24,68383918,BMP390,22.39,1007.44,-0.04,,,,,,
25,68440889,BNO,-135.66,1.12,-13,-6.06,-7.63,-59.38,-0.07,-0.44,-0.33
26,68497647,BMP390,22.38,1007.45,-0.09,,,,,,
27,68554705,BNO,-135.66,1.12,-13,-6.06,-7.63,-59.38,0.35,-0.05,0.12
28,68614722,GPS,0,0,0,0,0,0,,,
29,68642453,BMP390,22.38,1007.44,-0.09,,,,,,
30,68699463,BNO,-135.66,1.12,-13,-6.06,-7.63,-59.38,0.26,-0.13,-0.07
31,68755683,BMP390,22.36,1007.44,-0.05,,,,,,
32,68812670,BNO,-135.66,1.12,-13,-6.06,-7.63,-59.38,-0.07,-0.08,-0.1
33,68870509,GPS,0,0,0,0,0,0,,,
34,68898964,BMP390,22.36,1007.44,-0.04,,,,,,
35,68955981,BNO,-135.66,1.12,-13,-6.06,-7.63,-59.38,-0.2,-0.05,-0.27
36,69013114,BMP390,22.35,1007.43,0.03,,,,,,
37,69071773,BNO,-136.04,3.49,-12.16,-6.06,-7.63,-59.38,-0.2,-0.05,-0.27
38,69129611,GPS,0,0,0,0,0,0,,,
39,69158456,BMP390,22.34,1007.43,0.07,,,,,,
40,69215460,BNO,-136.04,3.49,-12.16,-5.56,-8.5,-60.31,-0.2,-0.05,-0.27
41,69272643,BMP390,22.33,1007.42,0.08,,,,,,
42,69329689,BNO,-135.32,2.45,-12.89,-5.56,-8.5,-60.31,-0.2,-0.05,-0.27
43,69388036,GPS,0,0,0,0,0,0,,,
44,69415779,BMP390,22.33,1007.42,0.09,,,,,,
45,69472771,BNO,-135.32,2.45,-12.89,-7.69,-7.19,-61.38,-0.2,-0.05,-0.27
46,69530770,BMP390,22.32,1007.42,0.12,,,,,,
47,69587850,BNO,-135.32,2.45,-12.89,-7.69,-7.19,-61.38,0.05,-0.21,0.25
48,69618321,BMP390,22.32,1007.43,0.06,,,,,,
49,69675351,BNO,-130.14,-5.11,-18.4,-7.69,-7.19,-61.38,0.05,-0.21,0.25
50,69732658,GPS,0,0,0,0,0,0,,,
51,69788652,BMP390,22.31,1007.42,0.08,,,,,,
52,69845656,BNO,-127.77,-6.7,-20.68,-7.69,-7.19,-61.38,0.05,-0.21,0.25
53,69875927,BMP390,22.31,1007.41,0.19,,,,,,
54,69932961,BNO,-126.8,-8.03,-21.82,-7.69,-7.19,-61.38,0.05,-0.21,0.25
55,69991166,GPS,0,0,0,0,0,0,,,
56,70046907,BMP390,22.3,1007.42,0.16,,,,,,
57,70103980,BNO,-127.15,-8.14,-22.3,-7.69,-7.19,-61.38,0.05,-0.21,0.25
58,70135208,BMP390,22.29,1007.41,0.17,,,,,,
59,70192252,BNO,-127.33,-8,-22.38,-7.69,-7.19,-61.38,0.05,-0.21,0.25
60,70250709,GPS,0,0,0,0,0,0,,,
61,70304755,BMP390,22.29,1007.42,0.16,,,,,,
62,70361789,BNO,-128.14,-7.92,-21.8,-7.69,-7.19,-61.38,0.05,-0.21,0.25
63,70391566,BMP390,22.28,1007.42,0.12,,,,,,
64,70448552,BNO,-128.14,-7.92,-21.8,-7.69,-7.19,-61.38,0.04,0.07,-0.56
65,70507791,GPS,0,0,0,0,0,0,,,
66,70565199,BMP390,22.28,1007.42,0.1,,,,,,
67,70622198,BNO,-128.14,-7.92,-21.8,-7.69,-7.19,-61.38,-0.02,0.2,0.93
68,70651660,BMP390,22.27,1007.42,0.11,,,,,,
69,70708747,BNO,-128.14,-7.92,-21.8,-19.25,-6.31,-56.44,-0.02,0.2,0.93
70,70766610,GPS,0,0,0,0,0,0,,,
71,70821214,BMP390,22.26,1007.43,0.06,,,,,,
72,70878182,BNO,-128.14,-7.92,-21.8,-19.25,-6.31,-56.44,0.15,-0.1,0.52
73,70907913,BMP390,22.25,1007.43,0.07,,,,,,
74,70965024,BNO,-128.14,-7.92,-21.8,-26.56,-4,-54.63,0.15,-0.1,0.52
75,71025244,GPS,0,0,0,0,0,0,,,
76,71080383,BMP390,22.25,1007.42,0.11,,,,,,
77,71137478,BNO,-128.14,-7.92,-21.8,-26.56,-4,-54.63,-1.39,0.13,-0.45
78,71167311,BMP390,22.24,1007.43,0.08,,,,,,
79,71224425,BNO,-128.14,-7.92,-21.8,-26.56,-4,-54.63,0.04,-0.84,-0.42
80,71282251,GPS,0,0,0,0,0,0,,,
81,71337812,BMP390,22.23,1007.42,0.16,,,,,,
82,71394822,BNO,-128.14,-7.92,-21.8,-26.56,-4,-54.63,-0.02,0.5,-0.03
83,71424232,BMP390,22.22,1007.42,0.14,,,,,,
84,71483039,BNO,-128.14,-7.92,-21.8,-26.56,-4,-54.63,0.96,-0.3,-0.19
85,71540393,GPS,0,0,0,0,0,0,,,
86,71596081,BMP390,22.21,1007.42,0.14,,,,,,
87,71653057,BNO,-102.61,-21.29,-26.3,-26.56,-4,-54.63,0.96,-0.3,-0.19
88,71683329,BMP390,22.21,1007.42,0.09,,,,,,
89,71740364,BNO,-101.95,-21.85,-26.19,-26.56,-4,-54.63,0.96,-0.3,-0.19
90,71798675,GPS,0,0,0,0,0,0,,,
91,71852116,BMP390,22.2,1007.42,0.12,,,,,,
92,71909096,BNO,-95.3,-25.77,-32.02,-26.56,-4,-54.63,0.96,-0.3,-0.19
93,71941491,BMP390,22.19,1007.42,0.13,,,,,,
94,71998546,BNO,-95.3,-25.77,-32.02,-39.81,11.69,-47.56,0.96,-0.3,-0.19
95,72053747,BMP390,22.19,1007.41,0.18,,,,,,
96,72110764,BNO,-95.3,-25.77,-32.02,-39.81,11.69,-47.56,-0.3,-0.39,-0.23
97,72168617,GPS,0,0,0,0,0,0,,,
98,72196624,BMP390,22.18,1007.41,0.18,,,,,,
99,72253585,BNO,-95.3,-25.77,-32.02,-39.81,11.69,-47.56,-0.14,0.35,0.31
100,72309686,BMP390,22.17,1007.41,0.18,,,,,,
101,72366746,BNO,-83.73,-33.62,-44.89,-39.81,11.69,-47.56,-0.14,0.35,0.31
102,72425444,GPS,0,0,0,0,0,0,,,
103,72454799,BMP390,22.16,1007.42,0.15,,,,,,
104,72511756,BNO,-83.73,-33.62,-44.89,-42.63,9.94,-53.75,-0.14,0.35,0.31
105,72568781,BMP390,22.15,1007.42,0.15,,,,,,
106,72625796,BNO,-83.73,-33.62,-44.89,-39.88,9.06,-58.06,-0.14,0.35,0.31
107,72684098,GPS,0,0,0,0,0,0,,,
108,72713052,BMP390,22.15,1007.42,0.16,,,,,,
109,72770068,BNO,-83.73,-33.62,-44.89,-38.38,8.19,-62.13,-0.14,0.35,0.31
110,72825827,BMP390,22.14,1007.42,0.13,,,,,,
111,72882830,BNO,-80.04,-35.94,-47.68,-38.38,8.19,-62.13,-0.14,0.35,0.31
112,72941892,GPS,0,0,0,0,0,0,,,
113,72970266,BMP390,22.13,1007.42,0.09,,,,,,
114,73027265,BNO,-80.04,-35.94,-47.68,-38.38,8.19,-62.13,0.2,-0.14,-0.18
115,73083522,BMP390,22.12,1007.43,0.06,,,,,,
116,73140546,BNO,-82.61,-36.79,-42.65,-38.38,8.19,-62.13,0.2,-0.14,-0.18
117,73198872,GPS,0,0,0,0,0,0,,,
118,73227780,BMP390,22.12,1007.43,0.01,,,,,,
119,73284755,BNO,-83.12,-36.91,-41.46,-38.38,8.19,-62.13,0.2,-0.14,-0.18
120,73340973,BMP390,22.11,1007.43,0.01,,,,,,
121,73398026,BNO,-82.37,-36.77,-41.51,-38.38,8.19,-62.13,0.2,-0.14,-0.18
122,73457980,GPS,0,0,0,0,0,0,,,
123,73486662,BMP390,22.11,1007.44,-0.01,,,,,,
124,73543719,BNO,-81.98,-37.21,-41.27,-38.38,8.19,-62.13,0.2,-0.14,-0.18
125,73599927,BMP390,22.1,1007.44,-0.03,,,,,,
126,73656905,BNO,-81.98,-37.21,-41.27,-37.5,-20.06,-82.94,0.2,-0.14,-0.18
127,73714677,GPS,0,0,0,0,0,0,,,
128,73745146,BMP390,22.09,1007.43,0.05,,,,,,
129,73802158,BNO,-81.98,-37.21,-41.27,-37.5,-20.06,-82.94,-0.41,0.22,0.02
130,73854588,BMP390,22.09,1007.43,0,,,,,,
131,73911638,BNO,-81.98,-37.21,-41.27,-33.63,-23.88,-81.38,-0.41,0.22,0.02
132,73969525,GPS,0,0,0,0,0,0,,,
133,73998724,BMP390,22.08,1007.44,-0.03,,,,,,
134,74055682,BNO,-81.98,-37.21,-41.27,-33.63,-23.88,-81.38,-0.67,1.88,0.74
135,74110937,BMP390,22.08,1007.44,-0.04,,,,,,
136,74168001,BNO,-81.98,-37.21,-41.27,-33.63,-23.88,-81.38,0.19,-0.36,-0.14
137,74226726,GPS,0,0,0,0,0,0,,,
138,74255670,BMP390,22.07,1007.44,-0.02,,,,,,
139,74312635,BNO,-81.98,-37.21,-41.27,-33.63,-23.88,-81.38,0.15,0.05,-0.08
140,74369711,BMP390,22.06,1007.44,-0.06,,,,,,
141,74426748,BNO,-81.98,-37.21,-41.27,-33.63,-23.88,-81.38,0.08,-0.07,-0.15
142,74484977,GPS,0,0,0,0,0,0,,,
143,74515250,BMP390,22.06,1007.44,-0.06,,,,,,
144,74572269,BNO,-81.98,-37.21,-41.27,-33.63,-23.88,-81.38,0.6,-0.32,0.09
145,74626682,BMP390,22.05,1007.45,-0.1,,,,,,
146,74683692,BNO,-81.98,-37.21,-41.27,-31.25,-22.81,-85.13,0.6,-0.32,0.09
147,74741101,GPS,0,0,0,0,0,0,,,
148,74770722,BMP390,22.05,1007.44,-0.07,,,,,,
149,74829352,BNO,-81.98,-37.21,-41.27,-31.25,-22.81,-85.13,-0.59,0.02,0.47
150,74884595,BMP390,22.04,1007.45,-0.09,,,,,,
151,74941615,BNO,-81.98,-37.21,-41.27,-32.25,-25.38,-84.25,-0.59,0.02,0.47
152,74999971,GPS,0,0,0,0,0,0,,,
153,75028580,BMP390,22.03,1007.45,-0.09,,,,,,
154,75085588,BNO,-84,-34.98,-36.51,-32.25,-25.38,-84.25,-0.59,0.02,0.47
155,75141416,BMP390,22.03,1007.44,-0.03,,,,,,
156,75198425,BNO,-84,-34.98,-36.51,-32.25,-25.38,-84.25,-0.21,0.54,1.03
157,75256538,GPS,0,0,0,0,0,0,,,
158,75287514,BMP390,22.02,1007.44,-0.04,,,,,,
159,75344535,BNO,-83.03,-37.66,-33.73,-32.25,-25.38,-84.25,-0.21,0.54,1.03
160,75400996,BMP390,22.01,1007.45,-0.09,,,,,,
161,75458012,BNO,-83.48,-37.53,-30.91,-32.25,-25.38,-84.25,-0.21,0.54,1.03
162,75515610,GPS,0,0,0,0,0,0,,,
163,75544683,BMP390,22.01,1007.44,-0.07,,,,,,
164,75601654,BNO,-83.48,-37.53,-30.91,-37.06,-32.63,-81.44,-0.21,0.54,1.03
165,75657742,BMP390,22,1007.44,-0.04,,,,,,
166,75714800,BNO,-83.48,-37.53,-30.91,-37.06,-32.63,-81.44,-0.45,0,-0.13
167,75774975,GPS,0,0,0,0,0,0,,,
168,75802767,BMP390,22,1007.44,-0.08,,,,,,
169,75859740,BNO,-83.48,-37.53,-30.91,-35.44,-33.19,-82.88,-0.45,0,-0.13
170,75916403,BMP390,21.99,1007.44,-0.03,,,,,,
171,75973436,BNO,-84.13,-34.03,-25.18,-35.44,-33.19,-82.88,-0.45,0,-0.13
172,76031921,GPS,0,0,0,0,0,0,,,
173,76061731,BMP390,21.99,1007.44,-0.05,,,,,,
174,76118780,BNO,-86.55,-31.75,-22.97,-35.44,-33.19,-82.88,-0.45,0,-0.13
175,76175352,BMP390,21.98,1007.44,-0.08,,,,,,
176,76234256,BNO,-92.55,-28.87,-15.93,-35.44,-33.19,-82.88,-0.45,0,-0.13
177,76291877,GPS,0,0,0,0,0,0,,,
